Time,X,Y,Z
0.0,4.19893016694335e-12,1.5596431704642998e-13,3.8116323294549126e-11
0.000625252,4.2096150946314815e-12,1.5636120359778488e-13,3.8213317065791004e-11
0.001130949,4.221632397564185e-12,1.5680756694357222e-13,3.832240550005388e-11
0.001639065,4.230883032768536e-12,1.5715116687640205e-13,3.84063791933219e-11
0.002132782,4.241714121381656e-12,1.5755347779649235e-13,3.8504699799178753e-11
0.002636929,4.252373828077477e-12,1.5794942289138277e-13,3.8601464663545184e-11
0.003123044,4.2660429938475215e-12,1.5845714448766583e-13,3.87255481622397e-11
0.003618435,4.274073676435508e-12,1.5875543648822534e-13,3.879844772911995e-11
0.004109515,4.285385758245035e-12,1.5917561291488485e-13,3.8901134624709887e-11
0.004608089,4.295537287903119e-12,1.5955268277180603e-13,3.8993286444928376e-11
0.012365663,4.306466065386002e-12,1.599586228321311e-13,3.909249383255675e-11
0.029219059,4.31708482495218e-12,1.6035303126532677e-13,3.918888693203845e-11
0.051949662,4.328619691767561e-12,1.6078146631175778e-13,3.9293596108050366e-11
0.073663184,4.339874554350797e-12,1.6119951126763123e-13,3.9395763419157075e-11
0.092738074,4.351252951376524e-12,1.6162214472471275e-13,3.949905212839058e-11
0.110289482,4.360499736257724e-12,1.6196559592302119e-13,3.958299103043999e-11
0.129538421,4.37136328194399e-12,1.6236909719933927e-13,3.968160621875241e-11
0.149862884,4.3819360871974195e-12,1.6276179959478415e-13,3.977758217459302e-11
0.168961305,4.3926273637252004e-12,1.6315891331642124e-13,3.987463371127373e-11
0.196362058,4.403742184688155e-12,1.63571759051583e-13,3.9975530030958545e-11
1.184847228,4.8363559924689e-12,1.796407498092312e-13,4.390263678229251e-11
1.188474238,4.847188754696417e-12,1.8004312637566292e-13,4.400097258472949e-11
1.189530544,4.859196526423718e-12,1.8048914641002247e-13,4.410997453201403e-11
1.190111175,4.8681099706500675e-12,1.808202298774954e-13,4.419088736078434e-11
1.19069197,4.878664961228426e-12,1.8121226571878326e-13,4.428670153333174e-11
1.191242442,4.889336124145021e-12,1.8160864204180294e-13,4.43835703585634e-11
1.19176831,4.900518137209753e-12,1.8202399370096133e-13,4.448507649034789e-11
1.194262973,4.910744337635373e-12,1.8240384885006957e-13,4.457790620982975e-11
1.194819133,4.922791620150529e-12,1.8285134861593367e-13,4.468726704864129e-11
1.196338534,4.932635490375365e-12,1.8321697791541975e-13,4.477662606804968e-11
1.19703827,4.943246173977684e-12,1.836110888417094e-13,4.487294593618079e-11
1.211646103,4.954770023053746e-12,1.8403913890353314e-13,4.497755507023754e-11
1.232198253,4.9649742679433404e-12,1.8441817648236028e-13,4.507018547732888e-11
1.254665677,4.9766889239922905e-12,1.8485331841727358e-13,4.5176526845111604e-11
1.269412255,4.986405623536941e-12,1.8521423026805224e-13,4.5264731334307905e-11
1.297263417,4.997333710633586e-12,1.8562013724514842e-13,4.5363932337263986e-11
1.879641651,5.2131045676140965e-12,1.936346995450426e-13,4.7322620197155033e-11
1.880356606,5.225401678680935e-12,1.9409146022979066e-13,4.743424887733643e-11
1.880870549,5.236700432690614e-12,1.9451114407636965e-13,4.753681464292098e-11
1.881400198,5.246470263065684e-12,1.948740335945561e-13,4.762550156395157e-11
1.882077633,5.25612655604639e-12,1.9523270589209953e-13,4.771315783434225e-11
1.882612143,5.268185488876639e-12,1.956806232286532e-13,4.7822624313843425e-11
1.883181222,5.277649200644209e-12,1.960321307767447e-13,4.790853233360829e-11
1.883756184,5.290203749534428e-12,1.964984402762498e-13,4.802249781149783e-11
1.884331102,5.2992819914004764e-12,1.9683564096645245e-13,4.810490673040269e-11
1.88491176,5.3105053901690545e-12,1.972525210041322e-13,4.8206788589534e-11
1.893748459,5.321762657833727e-12,1.9767065327281913e-13,4.8308977853562165e-11
1.912364617,5.3328922008182835e-12,1.980840414231414e-13,4.8410007680731576e-11
1.934807741,5.342770620952409e-12,1.9845096173335738e-13,4.8499680376240475e-11
1.949313685,5.353330881993333e-12,1.9884320808494878e-13,4.8595542574847096e-11
1.972673534,5.36465402293715e-12,1.9926380463230614e-13,4.869832987316842e-11
1.991986488,5.376028529390977e-12,1.99686309144624e-13,4.8801583448649676e-11
2.52695716,5.559045484818328e-12,2.0648424129276555e-13,5.046294271096573e-11
2.52788111,5.569109278361138e-12,2.0685805335310099e-13,5.055429813602565e-11
2.52851196,5.579898672727562e-12,2.0725881731161502e-13,5.0652240299116615e-11
2.52911139,5.590717248164415e-12,2.0766067846142227e-13,5.075044731002561e-11
2.529682547,5.602563823750653e-12,2.0810071507184576e-13,5.085798603360992e-11
2.530247336,5.612282437980163e-12,2.0846170935516718e-13,5.094620793044767e-11
2.53081251,5.623971713044496e-12,2.0889590309665587e-13,5.10523187395075e-11
2.531402324,5.6338688466768e-12,2.0926351071916773e-13,5.114216118622858e-11
2.532003844,5.645572637308651e-12,2.0969822270835502e-13,5.124840378386761e-11
2.532594499,5.657132526474702e-12,2.101276032646587e-13,5.1353340246419216e-11
2.533113432,5.666264184088756e-12,2.104667850775229e-13,5.143623397361382e-11
2.548995701,5.677042942251927e-12,2.1086714598555585e-13,5.1534079455391334e-11
2.573319662,5.688003598753654e-12,2.1127425171778352e-13,5.1633576219436886e-11
2.589268775,5.698657374502442e-12,2.1166995914429729e-13,5.173028723411966e-11
3.164121755,5.904053204979842e-12,2.1929920467887325e-13,5.359479417041867e-11
3.164848402,5.915815236006944e-12,2.1973610107593968e-13,5.3701565414713816e-11
3.165378264,5.925782760955298e-12,2.2010633084195127e-13,5.379204674380502e-11
3.165947856,5.936238803586983e-12,2.2049470591369617e-13,5.388696264712617e-11
3.166470456,5.946841919580589e-12,2.2088854906185397e-13,5.398321373335152e-11
3.16698041,5.957605066093445e-12,2.212883352802034e-13,5.408091754617656e-11
3.167509272,5.968598705039168e-12,2.2169668290742933e-13,5.418071368297875e-11
3.168014367,5.979998212939828e-12,2.2212012193827428e-13,5.428419422380761e-11
3.168524629,5.990188666114305e-12,2.2249865017420113e-13,5.437669941043281e-11
3.169036774,6.000866346998933e-12,2.22895271937797e-13,5.4473627509856727e-11
3.170417974,6.011987226248229e-12,2.2330835627588978e-13,5.457457880267059e-11
3.194209855,6.024160074130376e-12,2.2376047720706585e-13,5.4685079283716504e-11
3.749285821,6.218309403963906e-12,2.3097198098312147e-13,5.644749520259471e-11
3.750051249,6.228604932172984e-12,2.313544001900654e-13,5.654095422424675e-11
3.750576453,6.238274649998503e-12,2.317135741680402e-13,5.662873236921143e-11
3.751082481,6.249370534381089e-12,2.321257219684987e-13,5.6729456730089406e-11
3.751560437,6.261023172944978e-12,2.325585427495752e-13,5.6835235039601456e-11
3.752090798,6.271216509161317e-12,2.329371614736766e-13,5.6927766358949554e-11
3.752518524,6.28143558587357e-12,2.3331673629630296e-13,5.702053134095697e-11
3.752913832,6.293395500762168e-12,2.337609693598631e-13,5.712909907283871e-11
3.753433614,6.303102749976968e-12,2.341215305425805e-13,5.721721792986054e-11
3.753934464,6.314996136384148e-12,2.3456328182609867e-13,5.7325181560081344e-11
3.754434548,6.325246536079978e-12,2.349440083128353e-13,5.7418230782942534e-11
3.771700568,6.335433518779632e-12,2.3532239097865426e-13,5.751070445706431e-11
3.789617832,6.346332708593381e-12,2.357272260702899e-13,5.7609643184947603e-11
3.815770309,6.3586339337011615e-12,2.3618413779298115e-13,5.772130905960138e-11
3.829288618,6.367794205437067e-12,2.3652437440663785e-13,5.780446258055506e-11
3.854753438,6.3792598822193504e-12,2.3695023983444995e-13,5.790854370631758e-11
3.871338605,6.390527679689261e-12,2.373687797825728e-13,5.8010828607319626e-11
3.894212948,6.402473027555585e-12,2.37812476482806e-13,5.8119264015895604e-11
4.435244658,6.595038486689277e-12,2.449650332146581e-13,5.986730148330576e-11
4.436124296,6.605829353224032e-12,2.4536584860010775e-13,5.996525681818867e-11
4.436640922,6.6160761644439544e-12,2.4574645711348034e-13,6.005827351374164e-11
4.437138234,6.628072724291372e-12,2.4619205845336193e-13,6.016717376876349e-11
4.437765742,6.638712360417379e-12,2.4658725077235525e-13,6.02637563830808e-11
4.438896878,6.648462726418989e-12,2.469494125705197e-13,6.035226653773583e-11
4.439511401,6.659524089286415e-12,2.4736026908213036e-13,6.045267730137479e-11
4.440085974,6.670257911850869e-12,2.477589596366249e-13,6.055011478113018e-11
4.440579677,6.681070897515203e-12,2.481605976287666e-13,6.06482710816068e-11
4.440971257,6.691574838029954e-12,2.485507564349357e-13,6.074362198406434e-11
4.449338832,6.702377586250862e-12,2.4895202985894275e-13,6.084168531141974e-11
4.471657214,6.713322064565849e-12,2.493585679173718e-13,6.094103521181448e-11
4.493582387,6.72461921981891e-12,2.4977818974576485e-13,6.104358651357124e-11
4.511758368,6.7348681964137865e-12,2.501588787846139e-13,6.113662287112503e-11
4.53489424,6.747366399566324e-12,2.5062311332563715e-13,6.125007686202015e-11
4.550495019,6.756333318327626e-12,2.509561720186933e-13,6.133147524851515e-11
